,date,hrr,temp,precip
1,3/1/2024,0,3.2,0
2,3/1/2024,1,2.7,0
3,3/1/2024,2,1.7,0
4,3/1/2024,3,1.6,0
5,3/1/2024,4,0.6,0
6,3/1/2024,5,0.4,0
7,3/1/2024,6,-0.2,0
8,3/1/2024,7,0.3,0
9,3/1/2024,8,2,0
10,3/1/2024,9,4.6,0
11,3/1/2024,10,5.3,0
12,3/1/2024,11,6.2,0
13,3/1/2024,12,6.2,0
14,3/1/2024,13,6.7,0
15,3/1/2024,14,6.9,0
16,3/1/2024,15,7.9,0
17,3/1/2024,16,8,0
18,3/1/2024,17,7.7,0
19,3/1/2024,18,7.6,0
20,3/1/2024,19,7,0
21,3/1/2024,20,6.5,0
22,3/1/2024,21,6.4,0
23,3/1/2024,22,6,0
24,3/1/2024,23,6,0
25,3/2/2024,0,6,0
26,3/2/2024,1,5.8,0
27,3/2/2024,2,5.5,0
28,3/2/2024,3,5.4,0
29,3/2/2024,4,4.2,0
30,3/2/2024,5,3.3,0
31,3/2/2024,6,2.7,0
32,3/2/2024,7,2.4,0
33,3/2/2024,8,3.9,0
34,3/2/2024,9,7,0
35,3/2/2024,10,9.2,0
36,3/2/2024,11,11,0
37,3/2/2024,12,12,0
38,3/2/2024,13,13.4,0
39,3/2/2024,14,14.3,0
40,3/2/2024,15,14.8,0
41,3/2/2024,16,15.3,0
42,3/2/2024,17,14.8,0
43,3/2/2024,18,13.9,0
44,3/2/2024,19,12.4,0
45,3/2/2024,20,11.9,0
46,3/2/2024,21,10.6,0
47,3/2/2024,22,9.9,0
48,3/2/2024,23,9.2,0
49,3/3/2024,0,8.9,0
50,3/3/2024,1,8.4,0
51,3/3/2024,2,7.3,0
52,3/3/2024,3,7.1,0
53,3/3/2024,4,7,0
54,3/3/2024,5,7,0
55,3/3/2024,6,7.6,0
56,3/3/2024,7,7.8,0
57,3/3/2024,8,10.1,0
58,3/3/2024,9,11.8,0
59,3/3/2024,10,14.2,0
60,3/3/2024,11,16.8,0
61,3/3/2024,12,18.7,0
62,3/3/2024,13,20.9,0
63,3/3/2024,14,22,0
64,3/3/2024,15,22.6,0
65,3/3/2024,16,22.6,0
66,3/3/2024,17,21.8,0
67,3/3/2024,18,20.6,0
68,3/3/2024,19,19.6,0
69,3/3/2024,20,18.7,0
70,3/3/2024,21,18.1,0
71,3/3/2024,22,17.9,0
72,3/3/2024,23,17.6,0
73,3/4/2024,0,17.1,0
74,3/4/2024,1,16.2,0
75,3/4/2024,2,14.9,0
76,3/4/2024,3,13.9,0
77,3/4/2024,4,12.9,0
78,3/4/2024,5,12.4,0
79,3/4/2024,6,12,0
80,3/4/2024,7,12.2,0
81,3/4/2024,8,13.9,0
82,3/4/2024,9,16,0
83,3/4/2024,10,16.8,0
84,3/4/2024,11,17.5,0
85,3/4/2024,12,17.7,0
86,3/4/2024,13,17.8,0
87,3/4/2024,14,20,0
88,3/4/2024,15,21.3,0
89,3/4/2024,16,21.5,0
90,3/4/2024,17,22.1,0
91,3/4/2024,18,21.1,0
92,3/4/2024,19,20.9,0
93,3/4/2024,20,20.4,0
94,3/4/2024,21,19.3,0.327
95,3/4/2024,22,17,5.143
96,3/4/2024,23,14.9,0.474
97,3/5/2024,0,7,0.144
98,3/5/2024,1,6,5.229
99,3/5/2024,2,6,1.186
100,3/5/2024,3,5.8,5.366
101,3/5/2024,4,5.8,2.769
102,3/5/2024,5,6,3.182
103,3/5/2024,6,5.7,1.063
104,3/5/2024,7,5.8,0.395
105,3/5/2024,8,5.8,0.095
